# Student number: r0123456
# Iteration, Elapsed time, Mean value, Best value, Cycle
470,188.82266497612,202229.8236907459,198107.1116635116,[  0 231 227 735 142 440 687 286 556 737 555 553  79 625 636 154 236 210
 334  42 707 504 671 517 660 607 602 445 743 244 178 499 312 206 433  78
 416 460 728 217 251 296 274 374 639 490 395 688 643  17 677 259 385  20
  27 745 299 276 248 103 641 665  93  49 455 534 427 161 373 536 390 598
  16 381  81 215 574 478   9 197 166 150 363 708 485 627 162 719 609 613
  58  56 348 483 615  22 265 560   7   4 531 523 287 168 344 191  70 717
 584 510 209  19 182 651 436 544  52 566  37 431 335 718 591 160 738 148
 696 331 730 684 105 214 746 131  43 279 223 351 112 457 233 525 165  53
  92 368 443 451 715 119  44   3 587 626 340 152 159 305 254 486 638 377
 280 515 129  73 410 263 447 157  35 189 667 716 633  97 727 360 472 387
 186 734 336  29 294 456 590  66 147 691 572 321 292 345  10 349 547 524
 156 273 629 109 221 450 729 365 291 394  98 240 338 714 401 497 675 143
 398  65 237 295 257 311 289 444  71 686 632  51],
471,189.9185106754303,202229.45248702867,198107.1116635116,[  0 231 227 735 142 440 687 286 556 737 555 553  79 625 636 154 236 210
 563 699 605 695 630 648 562 246  68 599 301 484 406  48 581 644 380 198
   1 284 640 426 133 300  59 277 565 439 146 608 488 561 114 475 304 202
 674 741 454 473 722 151 505 546 329  87 616 262 702 721  32 579 399 659
 623   2 470 164 596 184 350 586 125  24 653 101 601 181 275 508  75 303
 403 204  25  89 678 238 582 144 407 269 127 393 382 663  55 108 132 400
 507 620 370 593 149 594 172 170 493  45 535 102 610 657 732 220 319 442
 681 575 624  39  23 713 425 646 690 655 268 673 733 115 694 386 474 592
 247 190 438 661  50 514 356 255 124 668 196   5 452 742 229 424 241 320
   6 417 219 361  67 158 355 134 174 384 199 271 402 489 245 282 532 327
 642  26 391 458 670 140 480 446 130 622 736 685 200 362 121 529 195 383
 100 420 211  30 503 500 372 137 293 697 352 672 337 700 297 437 479 252
 649 314 194  46 226 122 550 494 339 709 522 261 309 232  11 358 647  99
 256  86 512 264 396 306 389 278 459 634 375 153 298 222 530 617 266 564
 225 230 367 392 322 669 464  84 346 421 376 554 185 637 588 315 318 188
 139  38 689 313 107 253 343 116  28 482 666 175 307 600 701  82 679  88
 739 726 498 429 208 589  14  60 104  95 731 176 106 631  57 317  61 542
 453  85 466 234 242 712  80 354 272 467 378 527 366 703 520 496 288 441
 332 469 243 411 177 203 704 698 260  72 428 169 408  69 111 325 449 652
 551 141 619 342 516 207 501 163 353 519 557 585  31 476 359 720 324 567
 471   8 603  94 183 749 258 628  64 723 323 683 218 187  12 705 612 502
 573 568 379 228 461 113 537 548 506 552 418 285 136 193 664 138 463 571
 487 621 404 205 604 747 711 415 710 432 213 614 369 543 676 435 357 611
 635  36 618 123 740 492 580 224 724 171 249  54 290 477 330 145 302 658
 576 448 434 597 545 371 397 662 409 405 117  34 682 495  21 559 645 656
 270 419 412 423 212 468 518  77 250  15 310 578 526 706 216 558 606 595
 333 533 693  96 521 725 239  74 283 481 135 513  13 155 430 511 201 538
 539 192 680 569 126 422 235 540 465  63 744 388 128 267 341 173 528 414
 347 462  83 167 118 748  47 326  18  90 110 281  41 179  40 328 654 549
 509 364 316 650  91 541 120 583 692  76 577 491  33 308 413  62 180 570
 334  42 707 504 671 517 660 607 602 445 743 244 178 499 312 206 433  78
 416 460 728 217 251 296 274 374 639 490 395 688 643  17 677 259 385  20
  27 745 299 276 248 103 641 665  93  49 455 534 427 161 373 536 390 598
  16 381  81 215 574 478   9 197 166 150 363 708 485 627 162 719 609 613
  58  56 348 483 615  22 265 560   7   4 531 523 287 168 344 191  70 717
 584 510 209  19 182 651 436 544  52 566  37 431 335 718 591 160 738 148
 696 331 730 684 105 214 746 131  43 279 223 351 112 457 233 525 165  53
  92 368 443 451 715 119  44   3 587 626 340 152 159 305 254 486 638 377
 280 515 129  73 410 263 447 157  35 189 667 716 633  97 727 360 472 387
 186 734 336  29 294 456 590  66 147 691 572 321 292 345  10 349 547 524
 156 273 629 109 221 450 729 365 291 394  98 240 338 714 401 497 675 143
 398  65 237 295 257 311 289 444  71 686 632  51],
472,191.5661027431488,202229.98533315718,198107.1116635116,[  0 231 227 735 142 440 687 286 556 737 555 553  79 625 636 154 236 210
 563 699 605 695 630 648 562 246  68 599 301 484 406  48 581 644 380 198
   1 284 640 426 133 300  59 277 565 439 146 608 488 561 114 475 304 202
 674 741 454 473 722 151 505 546 329  87 616 262 702 721  32 579 399 659
 623   2 470 164 596 184 350 586 125  24 653 101 601 181 275 508  75 303
 403 204  25  89 678 238 582 144 407 269 127 393 382 663  55 108 132 400
 507 620 370 593 149 594 172 170 493  45 535 102 610 657 732 220 319 442
 681 575 624  39  23 713 425 646 690 655 268 673 733 115 694 386 474 592
 247 190 438 661  50 514 356 255 124 668 196   5 452 742 229 424 241 320
   6 417 219 361  67 158 355 134 174 384 199 271 402 489 245 282 532 327
 642  26 391 458 670 140 480 446 130 622 736 685 200 362 121 529 195 383
 100 420 211  30 503 500 372 137 293 697 352 672 337 700 297 437 479 252
 649 314 194  46 226 122 550 494 339 709 522 261 309 232  11 358 647  99
 256  86 512 264 396 306 389 278 459 634 375 153 298 222 530 617 266 564
 225 230 367 392 322 669 464  84 346 421 376 554 185 637 588 315 318 188
 139  38 689 313 107 253 343 116  28 482 666 175 307 600 701  82 679  88
 739 726 498 429 208 589  14  60 104  95 731 176 106 631  57 317  61 542
 453  85 466 234 242 712  80 354 272 467 378 527 366 703 520 496 288 441
 332 469 243 411 177 203 704 698 260  72 428 169 408  69 111 325 449 652
 551 141 619 342 516 207 501 163 353 519 557 585  31 476 359 720 324 567
 471   8 603  94 183 749 258 628  64 723 323 683 218 187  12 705 612 502
 573 568 379 228 461 113 537 548 506 552 418 285 136 193 664 138 463 571
 487 621 404 205 604 747 711 415 710 432 213 614 369 543 676 435 357 611
 635  36 618 123 740 492 580 224 724 171 249  54 290 477 330 145 302 658
 576 448 434 597 545 371 397 662 409 405 117  34 682 495  21 559 645 656
 270 419 412 423 212 468 518  77 250  15 310 578 526 706 216 558 606 595
 333 533 693  96 521 725 239  74 283 481 135 513  13 155 430 511 201 538
 539 192 680 569 126 422 235 540 465  63 744 388 128 267 341 173 528 414
 347 462  83 167 118 748  47 326  18  90 110 281  41 179  40 328 654 549
 509 364 316 650  91 541 120 583 692  76 577 491  33 308 413  62 180 570
 334  42 707 504 671 517 660 607 602 445 743 244 178 499 312 206 433  78
 416 460 728 217 251 296 274 374 639 490 395 688 643  17 677 259 385  20
  27 745 299 276 248 103 641 665  93  49 455 534 427 161 373 536 390 598
  16 381  81 215 574 478   9 197 166 150 363 708 485 627 162 719 609 613
  58  56 348 483 615  22 265 560   7   4 531 523 287 168 344 191  70 717
 584 510 209  19 182 651 436 544  52 566  37 431 335 718 591 160 738 148
 696 331 730 684 105 214 746 131  43 279 223 351 112 457 233 525 165  53
  92 368 443 451 715 119  44   3 587 626 340 152 159 305 254 486 638 377
 280 515 129  73 410 263 447 157  35 189 667 716 633  97 727 360 472 387
 186 734 336  29 294 456 590  66 147 691 572 321 292 345  10 349 547 524
 156 273 629 109 221 450 729 365 291 394  98 240 338 714 401 497 675 143
 398  65 237 295 257 311 289 444  71 686 632  51],
473,193.0389585494995,202229.37048032728,198107.1116635116,[  0 231 227 735 142 440 687 286 556 737 555 553  79 625 636 154 236 210
 563 699 605 695 630 648 562 246  68 599 301 484 406  48 581 644 380 198
   1 284 640 426 133 300  59 277 565 439 146 608 488 561 114 475 304 202
 674 741 454 473 722 151 505 546 329  87 616 262 702 721  32 579 399 659
 623   2 470 164 596 184 350 586 125  24 653 101 601 181 275 508  75 303
 403 204  25  89 678 238 582 144 407 269 127 393 382 663  55 108 132 400
 507 620 370 593 149 594 172 170 493  45 535 102 610 657 732 220 319 442
 681 575 624  39  23 713 425 646 690 655 268 673 733 115 694 386 474 592
 247 190 438 661  50 514 356 255 124 668 196   5 452 742 229 424 241 320
   6 417 219 361  67 158 355 134 174 384 199 271 402 489 245 282 532 327
 642  26 391 458 670 140 480 446 130 622 736 685 200 362 121 529 195 383
 100 420 211  30 503 500 372 137 293 697 352 672 337 700 297 437 479 252
 649 314 194  46 226 122 550 494 339 709 522 261 309 232  11 358 647  99
 256  86 512 264 396 306 389 278 459 634 375 153 298 222 530 617 266 564
 225 230 367 392 322 669 464  84 346 421 376 554 185 637 588 315 318 188
 139  38 689 313 107 253 343 116  28 482 666 175 307 600 701  82 679  88
 739 726 498 429 208 589  14  60 104  95 731 176 106 631  57 317  61 542
 453  85 466 234 242 712  80 354 272 467 378 527 366 703 520 496 288 441
 332 469 243 411 177 203 704 698 260  72 428 169 408  69 111 325 449 652
 551 141 619 342 516 207 501 163 353 519 557 585  31 476 359 720 324 567
 471   8 603  94 183 749 258 628  64 723 323 683 218 187  12 705 612 502
 573 568 379 228 461 113 537 548 506 552 418 285 136 193 664 138 463 571
 487 621 404 205 604 747 711 415 710 432 213 614 369 543 676 435 357 611
 635  36 618 123 740 492 580 224 724 171 249  54 290 477 330 145 302 658
 576 448 434 597 545 371 397 662 409 405 117  34 682 495  21 559 645 656
 270 419 412 423 212 468 518  77 250  15 310 578 526 706 216 558 606 595
 333 533 693  96 521 725 239  74 283 481 135 513  13 155 430 511 201 538
 539 192 680 569 126 422 235 540 465  63 744 388 128 267 341 173 528 414
 347 462  83 167 118 748  47 326  18  90 110 281  41 179  40 328 654 549
 509 364 316 650  91 541 120 583 692  76 577 491  33 308 413  62 180 570
 334  42 707 504 671 517 660 607 602 445 743 244 178 499 312 206 433  78
 416 460 728 217 251 296 274 374 639 490 395 688 643  17 677 259 385  20
  27 745 299 276 248 103 641 665  93  49 455 534 427 161 373 536 390 598
  16 381  81 215 574 478   9 197 166 150 363 708 485 627 162 719 609 613
  58  56 348 483 615  22 265 560   7   4 531 523 287 168 344 191  70 717
 584 510 209  19 182 651 436 544  52 566  37 431 335 718 591 160 738 148
 696 331 730 684 105 214 746 131  43 279 223 351 112 457 233 525 165  53
  92 368 443 451 715 119  44   3 587 626 340 152 159 305 254 486 638 377
 280 515 129  73 410 263 447 157  35 189 667 716 633  97 727 360 472 387
 186 734 336  29 294 456 590  66 147 691 572 321 292 345  10 349 547 524
 156 273 629 109 221 450 729 365 291 394  98 240 338 714 401 497 675 143
 398  65 237 295 257 311 289 444  71 686 632  51],
474,194.46878743171692,202229.92049194087,198107.1116635116,[  0 231 227 735 142 440 687 286 556 737 555 553  79 625 636 154 236 210
 563 699 605 695 630 648 562 246  68 599 301 484 406  48 581 644 380 198
   1 284 640 426 133 300  59 277 565 439 146 608 488 561 114 475 304 202
 674 741 454 473 722 151 505 546 329  87 616 262 702 721  32 579 399 659
 623   2 470 164 596 184 350 586 125  24 653 101 601 181 275 508  75 303
 403 204  25  89 678 238 582 144 407 269 127 393 382 663  55 108 132 400
 507 620 370 593 149 594 172 170 493  45 535 102 610 657 732 220 319 442
 681 575 624  39  23 713 425 646 690 655 268 673 733 115 694 386 474 592
 247 190 438 661  50 514 356 255 124 668 196   5 452 742 229 424 241 320
   6 417 219 361  67 158 355 134 174 384 199 271 402 489 245 282 532 327
 642  26 391 458 670 140 480 446 130 622 736 685 200 362 121 529 195 383
 100 420 211  30 503 500 372 137 293 697 352 672 337 700 297 437 479 252
 649 314 194  46 226 122 550 494 339 709 522 261 309 232  11 358 647  99
 256  86 512 264 396 306 389 278 459 634 375 153 298 222 530 617 266 564
 225 230 367 392 322 669 464  84 346 421 376 554 185 637 588 315 318 188
 139  38 689 313 107 253 343 116  28 482 666 175 307 600 701  82 679  88
 739 726 498 429 208 589  14  60 104  95 731 176 106 631  57 317  61 542
 453  85 466 234 242 712  80 354 272 467 378 527 366 703 520 496 288 441
 332 469 243 411 177 203 704 698 260  72 428 169 408  69 111 325 449 652
 551 141 619 342 516 207 501 163 353 519 557 585  31 476 359 720 324 567
 471   8 603  94 183 749 258 628  64 723 323 683 218 187  12 705 612 502
 573 568 379 228 461 113 537 548 506 552 418 285 136 193 664 138 463 571
 487 621 404 205 604 747 711 415 710 432 213 614 369 543 676 435 357 611
 635  36 618 123 740 492 580 224 724 171 249  54 290 477 330 145 302 658
 576 448 434 597 545 371 397 662 409 405 117  34 682 495  21 559 645 656
 270 419 412 423 212 468 518  77 250  15 310 578 526 706 216 558 606 595
 333 533 693  96 521 725 239  74 283 481 135 513  13 155 430 511 201 538
 539 192 680 569 126 422 235 540 465  63 744 388 128 267 341 173 528 414
 347 462  83 167 118 748  47 326  18  90 110 281  41 179  40 328 654 549
 509 364 316 650  91 541 120 583 692  76 577 491  33 308 413  62 180 570
 334  42 707 504 671 517 660 607 602 445 743 244 178 499 312 206 433  78
 416 460 728 217 251 296 274 374 639 490 395 688 643  17 677 259 385  20
  27 745 299 276 248 103 641 665  93  49 455 534 427 161 373 536 390 598
  16 381  81 215 574 478   9 197 166 150 363 708 485 627 162 719 609 613
  58  56 348 483 615  22 265 560   7   4 531 523 287 168 344 191  70 717
 584 510 209  19 182 651 436 544  52 566  37 431 335 718 591 160 738 148
 696 331 730 684 105 214 746 131  43 279 223 351 112 457 233 525 165  53
  92 368 443 451 715 119  44   3 587 626 340 152 159 305 254 486 638 377
 280 515 129  73 410 263 447 157  35 189 667 716 633  97 727 360 472 387
 186 734 336  29 294 456 590  66 147 691 572 321 292 345  10 349 547 524
 156 273 629 109 221 450 729 365 291 394  98 240 338 714 401 497 675 143
 398  65 237 295 257 311 289 444  71 686 632  51],
475,195.9249074459076,202229.71163158971,198107.1116635116,[  0 231 227 735 142 440 687 286 556 737 555 553  79 625 636 154 236 210
 563 699 605 695 630 648 562 246  68 599 301 484 406  48 581 644 380 198
   1 284 640 426 133 300  59 277 565 439 146 608 488 561 114 475 304 202
 674 741 454 473 722 151 505 546 329  87 616 262 702 721  32 579 399 659
 623   2 470 164 596 184 350 586 125  24 653 101 601 181 275 508  75 303
 403 204  25  89 678 238 582 144 407 269 127 393 382 663  55 108 132 400
 507 620 370 593 149 594 172 170 493  45 535 102 610 657 732 220 319 442
 681 575 624  39  23 713 425 646 690 655 268 673 733 115 694 386 474 592
 247 190 438 661  50 514 356 255 124 668 196   5 452 742 229 424 241 320
   6 417 219 361  67 158 355 134 174 384 199 271 402 489 245 282 532 327
 642  26 391 458 670 140 480 446 130 622 736 685 200 362 121 529 195 383
 100 420 211  30 503 500 372 137 293 697 352 672 337 700 297 437 479 252
 649 314 194  46 226 122 550 494 339 709 522 261 309 232  11 358 647  99
 256  86 512 264 396 306 389 278 459 634 375 153 298 222 530 617 266 564
 225 230 367 392 322 669 464  84 346 421 376 554 185 637 588 315 318 188
 139  38 689 313 107 253 343 116  28 482 666 175 307 600 701  82 679  88
 739 726 498 429 208 589  14  60 104  95 731 176 106 631  57 317  61 542
 453  85 466 234 242 712  80 354 272 467 378 527 366 703 520 496 288 441
 332 469 243 411 177 203 704 698 260  72 428 169 408  69 111 325 449 652
 551 141 619 342 516 207 501 163 353 519 557 585  31 476 359 720 324 567
 471   8 603  94 183 749 258 628  64 723 323 683 218 187  12 705 612 502
 573 568 379 228 461 113 537 548 506 552 418 285 136 193 664 138 463 571
 487 621 404 205 604 747 711 415 710 432 213 614 369 543 676 435 357 611
 635  36 618 123 740 492 580 224 724 171 249  54 290 477 330 145 302 658
 576 448 434 597 545 371 397 662 409 405 117  34 682 495  21 559 645 656
 270 419 412 423 212 468 518  77 250  15 310 578 526 706 216 558 606 595
 333 533 693  96 521 725 239  74 283 481 135 513  13 155 430 511 201 538
 539 192 680 569 126 422 235 540 465  63 744 388 128 267 341 173 528 414
 347 462  83 167 118 748  47 326  18  90 110 281  41 179  40 328 654 549
 509 364 316 650  91 541 120 583 692  76 577 491  33 308 413  62 180 570
 334  42 707 504 671 517 660 607 602 445 743 244 178 499 312 206 433  78
 416 460 728 217 251 296 274 374 639 490 395 688 643  17 677 259 385  20
  27 745 299 276 248 103 641 665  93  49 455 534 427 161 373 536 390 598
  16 381  81 215 574 478   9 197 166 150 363 708 485 627 162 719 609 613
  58  56 348 483 615  22 265 560   7   4 531 523 287 168 344 191  70 717
 584 510 209  19 182 651 436 544  52 566  37 431 335 718 591 160 738 148
 696 331 730 684 105 214 746 131  43 279 223 351 112 457 233 525 165  53
  92 368 443 451 715 119  44   3 587 626 340 152 159 305 254 486 638 377
 280 515 129  73 410 263 447 157  35 189 667 716 633  97 727 360 472 387
 186 734 336  29 294 456 590  66 147 691 572 321 292 345  10 349 547 524
 156 273 629 109 221 450 729 365 291 394  98 240 338 714 401 497 675 143
 398  65 237 295 257 311 289 444  71 686 632  51],
476,197.94559359550476,202229.01992896234,198107.1116635116,[  0 231 227 735 142 440 687 286 556 737 555 553  79 625 636 154 236 210
 563 699 605 695 630 648 562 246  68 599 301 484 406  48 581 644 380 198
   1 284 640 426 133 300  59 277 565 439 146 608 488 561 114 475 304 202
 674 741 454 473 722 151 505 546 329  87 616 262 702 721  32 579 399 659
 623   2 470 164 596 184 350 586 125  24 653 101 601 181 275 508  75 303
 403 204  25  89 678 238 582 144 407 269 127 393 382 663  55 108 132 400
 507 620 370 593 149 594 172 170 493  45 535 102 610 657 732 220 319 442
 681 575 624  39  23 713 425 646 690 655 268 673 733 115 694 386 474 592
 247 190 438 661  50 514 356 255 124 668 196   5 452 742 229 424 241 320
   6 417 219 361  67 158 355 134 174 384 199 271 402 489 245 282 532 327
 642  26 391 458 670 140 480 446 130 622 736 685 200 362 121 529 195 383
 100 420 211  30 503 500 372 137 293 697 352 672 337 700 297 437 479 252
 649 314 194  46 226 122 550 494 339 709 522 261 309 232  11 358 647  99
 256  86 512 264 396 306 389 278 459 634 375 153 298 222 530 617 266 564
 225 230 367 392 322 669 464  84 346 421 376 554 185 637 588 315 318 188
 139  38 689 313 107 253 343 116  28 482 666 175 307 600 701  82 679  88
 739 726 498 429 208 589  14  60 104  95 731 176 106 631  57 317  61 542
 453  85 466 234 242 712  80 354 272 467 378 527 366 703 520 496 288 441
 332 469 243 411 177 203 704 698 260  72 428 169 408  69 111 325 449 652
 551 141 619 342 516 207 501 163 353 519 557 585  31 476 359 720 324 567
 471   8 603  94 183 749 258 628  64 723 323 683 218 187  12 705 612 502
 573 568 379 228 461 113 537 548 506 552 418 285 136 193 664 138 463 571
 487 621 404 205 604 747 711 415 710 432 213 614 369 543 676 435 357 611
 635  36 618 123 740 492 580 224 724 171 249  54 290 477 330 145 302 658
 576 448 434 597 545 371 397 662 409 405 117  34 682 495  21 559 645 656
 270 419 412 423 212 468 518  77 250  15 310 578 526 706 216 558 606 595
 333 533 693  96 521 725 239  74 283 481 135 513  13 155 430 511 201 538
 539 192 680 569 126 422 235 540 465  63 744 388 128 267 341 173 528 414
 347 462  83 167 118 748  47 326  18  90 110 281  41 179  40 328 654 549
 509 364 316 650  91 541 120 583 692  76 577 491  33 308 413  62 180 570
 334  42 707 504 671 517 660 607 602 445 743 244 178 499 312 206 433  78
 416 460 728 217 251 296 274 374 639 490 395 688 643  17 677 259 385  20
  27 745 299 276 248 103 641 665  93  49 455 534 427 161 373 536 390 598
  16 381  81 215 574 478   9 197 166 150 363 708 485 627 162 719 609 613
  58  56 348 483 615  22 265 560   7   4 531 523 287 168 344 191  70 717
 584 510 209  19 182 651 436 544  52 566  37 431 335 718 591 160 738 148
 696 331 730 684 105 214 746 131  43 279 223 351 112 457 233 525 165  53
  92 368 443 451 715 119  44   3 587 626 340 152 159 305 254 486 638 377
 280 515 129  73 410 263 447 157  35 189 667 716 633  97 727 360 472 387
 186 734 336  29 294 456 590  66 147 691 572 321 292 345  10 349 547 524
 156 273 629 109 221 450 729 365 291 394  98 240 338 714 401 497 675 143
 398  65 237 295 257 311 289 444  71 686 632  51],
477,199.82157063484192,202228.7190647759,198107.1116635116,[  0 231 227 735 142 440 687 286 556 737 555 553  79 625 636 154 236 210
 563 699 605 695 630 648 562 246  68 599 301 484 406  48 581 644 380 198
   1 284 640 426 133 300  59 277 565 439 146 608 488 561 114 475 304 202
 674 741 454 473 722 151 505 546 329  87 616 262 702 721  32 579 399 659
 623   2 470 164 596 184 350 586 125  24 653 101 601 181 275 508  75 303
 403 204  25  89 678 238 582 144 407 269 127 393 382 663  55 108 132 400
 507 620 370 593 149 594 172 170 493  45 535 102 610 657 732 220 319 442
 681 575 624  39  23 713 425 646 690 655 268 673 733 115 694 386 474 592
 247 190 438 661  50 514 356 255 124 668 196   5 452 742 229 424 241 320
   6 417 219 361  67 158 355 134 174 384 199 271 402 489 245 282 532 327
 642  26 391 458 670 140 480 446 130 622 736 685 200 362 121 529 195 383
 100 420 211  30 503 500 372 137 293 697 352 672 337 700 297 437 479 252
 649 314 194  46 226 122 550 494 339 709 522 261 309 232  11 358 647  99
 256  86 512 264 396 306 389 278 459 634 375 153 298 222 530 617 266 564
 225 230 367 392 322 669 464  84 346 421 376 554 185 637 588 315 318 188
 139  38 689 313 107 253 343 116  28 482 666 175 307 600 701  82 679  88
 739 726 498 429 208 589  14  60 104  95 731 176 106 631  57 317  61 542
 453  85 466 234 242 712  80 354 272 467 378 527 366 703 520 496 288 441
 332 469 243 411 177 203 704 698 260  72 428 169 408  69 111 325 449 652
 551 141 619 342 516 207 501 163 353 519 557 585  31 476 359 720 324 567
 471   8 603  94 183 749 258 628  64 723 323 683 218 187  12 705 612 502
 573 568 379 228 461 113 537 548 506 552 418 285 136 193 664 138 463 571
 487 621 404 205 604 747 711 415 710 432 213 614 369 543 676 435 357 611
 635  36 618 123 740 492 580 224 724 171 249  54 290 477 330 145 302 658
 576 448 434 597 545 371 397 662 409 405 117  34 682 495  21 559 645 656
 270 419 412 423 212 468 518  77 250  15 310 578 526 706 216 558 606 595
 333 533 693  96 521 725 239  74 283 481 135 513  13 155 430 511 201 538
 539 192 680 569 126 422 235 540 465  63 744 388 128 267 341 173 528 414
 347 462  83 167 118 748  47 326  18  90 110 281  41 179  40 328 654 549
 509 364 316 650  91 541 120 583 692  76 577 491  33 308 413  62 180 570
 334  42 707 504 671 517 660 607 602 445 743 244 178 499 312 206 433  78
 416 460 728 217 251 296 274 374 639 490 395 688 643  17 677 259 385  20
  27 745 299 276 248 103 641 665  93  49 455 534 427 161 373 536 390 598
  16 381  81 215 574 478   9 197 166 150 363 708 485 627 162 719 609 613
  58  56 348 483 615  22 265 560   7   4 531 523 287 168 344 191  70 717
 584 510 209  19 182 651 436 544  52 566  37 431 335 718 591 160 738 148
 696 331 730 684 105 214 746 131  43 279 223 351 112 457 233 525 165  53
  92 368 443 451 715 119  44   3 587 626 340 152 159 305 254 486 638 377
 280 515 129  73 410 263 447 157  35 189 667 716 633  97 727 360 472 387
 186 734 336  29 294 456 590  66 147 691 572 321 292 345  10 349 547 524
 156 273 629 109 221 450 729 365 291 394  98 240 338 714 401 497 675 143
 398  65 237 295 257 311 289 444  71 686 632  51],
478,201.79434061050415,202228.51848865164,198107.1116635116,[  0 231 227 735 142 440 687 286 556 737 555 553  79 625 636 154 236 210
 563 699 605 695 630 648 562 246  68 599 301 484 406  48 581 644 380 198
   1 284 640 426 133 300  59 277 565 439 146 608 488 561 114 475 304 202
 674 741 454 473 722 151 505 546 329  87 616 262 702 721  32 579 399 659
 623   2 470 164 596 184 350 586 125  24 653 101 601 181 275 508  75 303
 403 204  25  89 678 238 582 144 407 269 127 393 382 663  55 108 132 400
 507 620 370 593 149 594 172 170 493  45 535 102 610 657 732 220 319 442
 681 575 624  39  23 713 425 646 690 655 268 673 733 115 694 386 474 592
 247 190 438 661  50 514 356 255 124 668 196   5 452 742 229 424 241 320
   6 417 219 361  67 158 355 134 174 384 199 271 402 489 245 282 532 327
 642  26 391 458 670 140 480 446 130 622 736 685 200 362 121 529 195 383
 100 420 211  30 503 500 372 137 293 697 352 672 337 700 297 437 479 252
 649 314 194  46 226 122 550 494 339 709 522 261 309 232  11 358 647  99
 256  86 512 264 396 306 389 278 459 634 375 153 298 222 530 617 266 564
 225 230 367 392 322 669 464  84 346 421 376 554 185 637 588 315 318 188
 139  38 689 313 107 253 343 116  28 482 666 175 307 600 701  82 679  88
 739 726 498 429 208 589  14  60 104  95 731 176 106 631  57 317  61 542
 453  85 466 234 242 712  80 354 272 467 378 527 366 703 520 496 288 441
 332 469 243 411 177 203 704 698 260  72 428 169 408  69 111 325 449 652
 551 141 619 342 516 207 501 163 353 519 557 585  31 476 359 720 324 567
 471   8 603  94 183 749 258 628  64 723 323 683 218 187  12 705 612 502
 573 568 379 228 461 113 537 548 506 552 418 285 136 193 664 138 463 571
 487 621 404 205 604 747 711 415 710 432 213 614 369 543 676 435 357 611
 635  36 618 123 740 492 580 224 724 171 249  54 290 477 330 145 302 658
 576 448 434 597 545 371 397 662 409 405 117  34 682 495  21 559 645 656
 270 419 412 423 212 468 518  77 250  15 310 578 526 706 216 558 606 595
 333 533 693  96 521 725 239  74 283 481 135 513  13 155 430 511 201 538
 539 192 680 569 126 422 235 540 465  63 744 388 128 267 341 173 528 414
 347 462  83 167 118 748  47 326  18  90 110 281  41 179  40 328 654 549
 509 364 316 650  91 541 120 583 692  76 577 491  33 308 413  62 180 570
 334  42 707 504 671 517 660 607 602 445 743 244 178 499 312 206 433  78
 416 460 728 217 251 296 274 374 639 490 395 688 643  17 677 259 385  20
  27 745 299 276 248 103 641 665  93  49 455 534 427 161 373 536 390 598
  16 381  81 215 574 478   9 197 166 150 363 708 485 627 162 719 609 613
