# Student number: r0810938
# Iteration, Elapsed time, Mean value, Best value, Cycle
0,10.853623867034912,171586.8809345305,159388.47704023749,[  0 148 215 392 120 310 450  11  71 246 138 476  78 174  77  46 399  73
 122 377 343 388 487 107  33 115 260  16 168 177 140 482 382 346  64  27
 216  80 109 431 289   7 347 175  56 499  58 112 406 295 285 398  98 381
 184 157 141  57 191 267 279 416 181 386  85 208 110 327 471 412 159 446
 345 204 368 435 105  72 257 266 297 163 415 173 187 426 379 357 118 240
 131 125  26  18 355 340  99 374 470 155  39 481 114 364  13 461 195 111
 424 488  70 455  81   4 319 329 219  51  59 221 254   3 367 259 354 213
 124 238 162 277 317 491 230 231 126 262 304  49 348  66 296 407 380 318
 137  93 449 106 132 242 272 264 360 249 237 432 136 489 293 292 425 393
 143 253 128 144 113  82 352 363 247 423 479  95 356 241 323 494 331 287
 371 456 457 270 251 497  38  48 288 291 236  96 314 179 337 411 305 465
  84 441  75 405 273   8 258 454 389  19 233 185  62  28 197 422 384 370
 351 130  31 458 263 308 234 369  69 280 445 235 333 228 214 166 301 322
 460   2 335  50 378 466 444 483 324 417 320 269 413 239 408 312 403 104
  37 463 436  92 477 459 256 472 299 359 475 420 165 108 452 232 200  55
  15 248 149 336 334 207  17  21 427 100  44 252 150 225  68 202 328 390
  94 414 169 442 229 133  86  43 366 183 495 119  29   1 123 394 469 182
  91 283 307 192 473 486 147 391  79 167 433 223 490 387 261 226 142 313
 338 341 281  10 276 404 448 306 468 349  76 400  52 376  41  89  54 290
 437 358 199 271 365 321 245 244 121 303 402  34 170 186   6 243 375 339
 284 153 151 212  32 250 201 218  24 395 309 205 127 396 172  14 194  97
 344  12 419  40 282   5 222 484 443  23 409 103 447  83],
4,15.596144437789917,200335.5958556652,156605.0703182143,[  0 148 215 392 120 310 450  11  71 246 138 476  78 174  77  46 399  73
 101 430 116 134 294 203 325 217  30 164  67 361 135 464 145 373  61 383
 462 154 129  63 188  36 485 492 268 362 300 278 198 467 429 353 158   9
 206 227  47  90  53 220 428 171 160 274 211  45 474 176 438 440 330 350
  87 496 316 224 196  74 146 332 493 401  65 311 152 286 102 193 342  42
  25 156 385 161  20 453 410 326 478 372 190 498 117  88 298  35 255 434
 139 180 439  22  60 421 178 397 315 275 418 265 189 480 302 209 210 451
 122 377 343 388 487 107  33 115 260  16 168 177 140 482 382 346  64  27
 216  80 109 431 289   7 347 175  56 499  58 112 406 295 285 398  98 381
 184 157 141  57 191 267 279 416 181 386  85 208 110 327 471 412 159 446
 345 204 368 435 105  72 257 266 297 163 415 173 187 426 379 357 118 240
 131 125  26  18 355 340  99 374 470 155  39 481 114 364  13 461 195 111
 424 488  70 455  81   4 319 329 219  51  59 221 254   3 367 259 354 213
 124 238 162 277 317 491 230 231 126 262 304  49 348  66 296 407 380 318
 137  93 449 106 132 242 272 264 360 249 237 432 136 489 293 292 425 393
 143 253 128 144 113  82 352 363 247 423 479  95 356 241 323 494 331 287
 371 456 457 270 251 497  38  48 288 291 236  96 314 179 337 411 305 465
  84 441  75 405 273   8 258 454 389  19 233 185  62  28 197 422 384 370
 351 130  31 458 263 308 234 369  69 280 445 235 333 228 214 166 301 322
 460   2 335  50 378 466 444 483 324 417 320 269 413 239 408 312 403 104
  37 463 436  92 477 459 256 472 299 359 475 420 165 108 452 232 200  55
  15 248 149 336 334 207  17  21 427 100  44 252 150 225  68 202 328 390
  94 414 169 442 229 133  86  43 366 183 495 119  29   1 123 394 469 182
  91 283 307 192 473 486 147 391  79 167 433 223 490 387 261 226 142 313
 338 341 281  10 276 404 448 306 468 349  76 400  52 376  41  89  54 290
 437 358 199 271 365 321 245 244 121 303 402  34 170 186   6 243 375 339
 284 153 151 212  32 250 201 218  24 395 309 205 127 396 172  14 194  97
 344  12 419  40 282   5 222 484 443  23 409 103 447  83],
5,16.68634819984436,202431.80192088708,156605.0703182143,[  0 148 215 392 120 310 450  11  71 246 138 476  78 174  77  46 399  73
 101 430 116 134 294 203 325 217  30 164  67 361 135 464 145 373  61 383
 462 154 129  63 188  36 485 492 268 362 300 278 198 467 429 353 158   9
 206 227  47  90  53 220 428 171 160 274 211  45 474 176 438 440 330 350
  87 496 316 224 196  74 146 332 493 401  65 311 152 286 102 193 342  42
  25 156 385 161  20 453 410 326 478 372 190 498 117  88 298  35 255 434
 139 180 439  22  60 421 178 397 315 275 418 265 189 480 302 209 210 451
 122 377 343 388 487 107  33 115 260  16 168 177 140 482 382 346  64  27
 216  80 109 431 289   7 347 175  56 499  58 112 406 295 285 398  98 381
 184 157 141  57 191 267 279 416 181 386  85 208 110 327 471 412 159 446
 345 204 368 435 105  72 257 266 297 163 415 173 187 426 379 357 118 240
 131 125  26  18 355 340  99 374 470 155  39 481 114 364  13 461 195 111
 424 488  70 455  81   4 319 329 219  51  59 221 254   3 367 259 354 213
 124 238 162 277 317 491 230 231 126 262 304  49 348  66 296 407 380 318
 137  93 449 106 132 242 272 264 360 249 237 432 136 489 293 292 425 393
 143 253 128 144 113  82 352 363 247 423 479  95 356 241 323 494 331 287
 371 456 457 270 251 497  38  48 288 291 236  96 314 179 337 411 305 465
  84 441  75 405 273   8 258 454 389  19 233 185  62  28 197 422 384 370
 351 130  31 458 263 308 234 369  69 280 445 235 333 228 214 166 301 322
 460   2 335  50 378 466 444 483 324 417 320 269 413 239 408 312 403 104
  37 463 436  92 477 459 256 472 299 359 475 420 165 108 452 232 200  55
  15 248 149 336 334 207  17  21 427 100  44 252 150 225  68 202 328 390
  94 414 169 442 229 133  86  43 366 183 495 119  29   1 123 394 469 182
  91 283 307 192 473 486 147 391  79 167 433 223 490 387 261 226 142 313
 338 341 281  10 276 404 448 306 468 349  76 400  52 376  41  89  54 290
 437 358 199 271 365 321 245 244 121 303 402  34 170 186   6 243 375 339
 284 153 151 212  32 250 201 218  24 395 309 205 127 396 172  14 194  97
 344  12 419  40 282   5 222 484 443  23 409 103 447  83],
6,17.793243408203125,201377.01907182203,156374.95438431227,[  0 148 215 392 120 310 450  11  71 246 138 476  78 174  77  46 399  73
 101 430 116 134 294 203 325 217  30 164  67 361 135 464 145 373  61 383
 462 154 129  63 188  36 485 492 268 362 300 278 198 467 429 353 158   9
 206 227  47  90  53 220 428 171 160 274 211  45 474 176 438 440 330 350
  87 496 316 224 196  74 146 332 493 401  65 311 152 286 102 193 342  42
  25 156 385 161  20 453 410 326 478 372 190 498 117  88 298  35 255 434
 139 180 439  22  60 421 178 397 315 275 418 265 189 480 302 209 210 451
 122 377 343 388 487 107  33 115 260  16 168 177 140 482 382 346  64  27
 216  80 109 431 289   7 347 175  56 499  58 112 406 295 285 398  98 381
 184 157 141  57 191 267 279 416 181 386  85 208 110 327 471 412 159 446
 345 204 368 435 105  72 257 266 297 163 415 173 187 426 379 357 118 240
 131 125  26  18 355 340  99 374 470 155  39 481 114 364  13 461 195 111
 424 488  70 455  81   4 319 329 219  51  59 221 254   3 367 259 354 213
 124 238 162 277 317 491 230 231 126 262 304  49 348  66 296 407 380 318
 137  93 449 106 132 242 272 264 360 249 237 432 136 489 293 292 425 393
 143 253 128 144 113  82 352 363 247 423 479  95 356 241 323 494 331 287
 371 456 457 270 251 497  38  48 288 291 236  96 314 179 337 411 305 465
  84 441  75 405 273   8 258 454 389  19 233 185  62  28 197 422 384 370
 351 130  31 458 263 308 234 369  69 280 445 235 333 228 214 166 301 322
 460   2 335  50 378 466 444 483 324 417 320 269 413 239 408 312 403 104
  37 463 436  92 477 459 256 472 299 359 475 420 165 108 452 232 200  55
  15 248 149 336 334 207  17 100 427  21  44 252 150 225  68 202 328 390
  94 414 169 442 229 133  86  43 366 183 495 119  29   1 123 394 469 182
  91 283 307 192 473 486 147 391  79 167 433 223 490 387 261 226 142 313
 338 341 281  10 276 404 448 306 468 349  76 400  52 376  41  89  54 290
 437 358 199 271 365 321 245 244 121 303 402  34 170 186   6 243 375 339
 284 153 151 212  32 250 201 218  24 395 309 205 127 396 172  14 194  97
 344  12 419  40 282   5 222 484 443  23 409 103 447  83],
7,18.879554271697998,203748.8439384705,156374.95438431227,[  0 148 215 392 120 310 450  11  71 246 138 476  78 174  77  46 399  73
 101 430 116 134 294 203 325 217  30 164  67 361 135 464 145 373  61 383
 462 154 129  63 188  36 485 492 268 362 300 278 198 467 429 353 158   9
 206 227  47  90  53 220 428 171 160 274 211  45 474 176 438 440 330 350
  87 496 316 224 196  74 146 332 493 401  65 311 152 286 102 193 342  42
  25 156 385 161  20 453 410 326 478 372 190 498 117  88 298  35 255 434
 139 180 439  22  60 421 178 397 315 275 418 265 189 480 302 209 210 451
 122 377 343 388 487 107  33 115 260  16 168 177 140 482 382 346  64  27
 216  80 109 431 289   7 347 175  56 499  58 112 406 295 285 398  98 381
 184 157 141  57 191 267 279 416 181 386  85 208 110 327 471 412 159 446
 345 204 368 435 105  72 257 266 297 163 415 173 187 426 379 357 118 240
 131 125  26  18 355 340  99 374 470 155  39 481 114 364  13 461 195 111
 424 488  70 455  81   4 319 329 219  51  59 221 254   3 367 259 354 213
 124 238 162 277 317 491 230 231 126 262 304  49 348  66 296 407 380 318
 137  93 449 106 132 242 272 264 360 249 237 432 136 489 293 292 425 393
 143 253 128 144 113  82 352 363 247 423 479  95 356 241 323 494 331 287
 371 456 457 270 251 497  38  48 288 291 236  96 314 179 337 411 305 465
  84 441  75 405 273   8 258 454 389  19 233 185  62  28 197 422 384 370
 351 130  31 458 263 308 234 369  69 280 445 235 333 228 214 166 301 322
 460   2 335  50 378 466 444 483 324 417 320 269 413 239 408 312 403 104
  37 463 436  92 477 459 256 472 299 359 475 420 165 108 452 232 200  55
  15 248 149 336 334 207  17 100 427  21  44 252 150 225  68 202 328 390
  94 414 169 442 229 133  86  43 366 183 495 119  29   1 123 394 469 182
  91 283 307 192 473 486 147 391  79 167 433 223 490 387 261 226 142 313
 338 341 281  10 276 404 448 306 468 349  76 400  52 376  41  89  54 290
 437 358 199 271 365 321 245 244 121 303 402  34 170 186   6 243 375 339
 284 153 151 212  32 250 201 218  24 395 309 205 127 396 172  14 194  97
 344  12 419  40 282   5 222 484 443  23 409 103 447  83],
8,19.956311464309692,203503.81345208912,156374.95438431227,[  0 148 215 392 120 310 450  11  71 246 138 476  78 174  77  46 399  73
 101 430 116 134 294 203 325 217  30 164  67 361 135 464 145 373  61 383
 462 154 129  63 188  36 485 492 268 362 300 278 198 467 429 353 158   9
 206 227  47  90  53 220 428 171 160 274 211  45 474 176 438 440 330 350
  87 496 316 224 196  74 146 332 493 401  65 311 152 286 102 193 342  42
  25 156 385 161  20 453 410 326 478 372 190 498 117  88 298  35 255 434
 139 180 439  22  60 421 178 397 315 275 418 265 189 480 302 209 210 451
 122 377 343 388 487 107  33 115 260  16 168 177 140 482 382 346  64  27
 216  80 109 431 289   7 347 175  56 499  58 112 406 295 285 398  98 381
 184 157 141  57 191 267 279 416 181 386  85 208 110 327 471 412 159 446
 345 204 368 435 105  72 257 266 297 163 415 173 187 426 379 357 118 240
 131 125  26  18 355 340  99 374 470 155  39 481 114 364  13 461 195 111
 424 488  70 455  81   4 319 329 219  51  59 221 254   3 367 259 354 213
 124 238 162 277 317 491 230 231 126 262 304  49 348  66 296 407 380 318
 137  93 449 106 132 242 272 264 360 249 237 432 136 489 293 292 425 393
 143 253 128 144 113  82 352 363 247 423 479  95 356 241 323 494 331 287
 371 456 457 270 251 497  38  48 288 291 236  96 314 179 337 411 305 465
  84 441  75 405 273   8 258 454 389  19 233 185  62  28 197 422 384 370
 351 130  31 458 263 308 234 369  69 280 445 235 333 228 214 166 301 322
 460   2 335  50 378 466 444 483 324 417 320 269 413 239 408 312 403 104
  37 463 436  92 477 459 256 472 299 359 475 420 165 108 452 232 200  55
  15 248 149 336 334 207  17 100 427  21  44 252 150 225  68 202 328 390
  94 414 169 442 229 133  86  43 366 183 495 119  29   1 123 394 469 182
  91 283 307 192 473 486 147 391  79 167 433 223 490 387 261 226 142 313
 338 341 281  10 276 404 448 306 468 349  76 400  52 376  41  89  54 290
 437 358 199 271 365 321 245 244 121 303 402  34 170 186   6 243 375 339
 284 153 151 212  32 250 201 218  24 395 309 205 127 396 172  14 194  97
 344  12 419  40 282   5 222 484 443  23 409 103 447  83],
9,21.0363507270813,204313.37948850144,156159.31147426864,[  0 148 215 392 120 310 450  11  71 246 138 476  78 174  77  46 399  73
 101 430 116 134 294 203 325 217  30 164  67 361 135 464 145 373  61 383
 462 154 129  63 188  36 485 492 268 362 300 278 198 467 429 353 158   9
 206 227  47  90  53 220 428 171 160 274 211  45 474 176 438 440 330 350
  87 496 316 224 196  74 146 332 493 401  65 311 152 286 102 193 342  42
  25 156 385 161  20 453 410 326 478 372 190 498 117  88 298  35 255 434
 139 180 439  22  60 421 178 397 315 275 418 265 189 480 302 209 210 451
 122 377 343 388 487 107  33 115 260  16 168 177 140 482 382 346  64  27
 216  80 109 431 289   7 347 175  56 499  58 112 406 295 285 398  98 381
 184 157 141  57 191 267 279 416 181 386  85 208 110 327 471 412 159 446
 345 204 368 435 105  72 257 266 297 163 415 173 187 426 379 357 118 240
 131 125  26  18 355 340  99 374 470 155  39 481 114 364  13 461 195 111
 424 488  70 455  81   4 319 329 219  51  59 221 254   3 367 259 354 213
 124 238 162 277 317 491 230 231 126 262 304  49 348  66 296 407 380 318
 137  93 449 106 132 242 272 264 360 249 237 432 136 489 293 292 425 393
 143 253 128 144 113  82 352 363 247 423 479  95 356 241 323 494 331 287
 371 456 457 270 251 497  38  48 288 291 236  96 314 179 337 411 305 465
  84 441  75 405 273   8 258 454 389  19 233 185 197  28  62 422 384 370
 351 130  31 458 263 308 234 369  69 280 445 235 333 228 214 166 301 322
 460   2 335  50 378 466 444 483 324 417 320 269 413 239 408 312 403 104
  37 463 436  92 477 459 256 472 299 359 475 420 165 108 452 232 200  55
  15 248 149 336 334 207  17 100 427  21  44 252 150 225  68 202 328 390
  94 414 169 442 229 133  86  43 366 183 495 119  29   1 123 394 469 182
  91 283 307 192 473 486 147 391  79 167 433 223 490 387 261 226 142 313
 338 341 281  10 276 404 448 306 468 349  76 400  52 376  41  89  54 290
 437 358 199 271 365 321 245 244 121 303 402  34 170 186   6 243 375 339
 284 153 151 212  32 250 201 218  24 395 309 205 127 396 172  14 194  97
 344  12 419  40 282   5 222 484 443  23 409 103 447  83],
10,22.103074550628662,205465.4278520377,156159.31147426864,[  0 148 215 392 120 310 450  11  71 246 138 476  78 174  77  46 399  73
 101 430 116 134 294 203 325 217  30 164  67 361 135 464 145 373  61 383
 462 154 129  63 188  36 485 492 268 362 300 278 198 467 429 353 158   9
 206 227  47  90  53 220 428 171 160 274 211  45 474 176 438 440 330 350
  87 496 316 224 196  74 146 332 493 401  65 311 152 286 102 193 342  42
  25 156 385 161  20 453 410 326 478 372 190 498 117  88 298  35 255 434
 139 180 439  22  60 421 178 397 315 275 418 265 189 480 302 209 210 451
 122 377 343 388 487 107  33 115 260  16 168 177 140 482 382 346  64  27
 216  80 109 431 289   7 347 175  56 499  58 112 406 295 285 398  98 381
 184 157 141  57 191 267 279 416 181 386  85 208 110 327 471 412 159 446
 345 204 368 435 105  72 257 266 297 163 415 173 187 426 379 357 118 240
 131 125  26  18 355 340  99 374 470 155  39 481 114 364  13 461 195 111
 424 488  70 455  81   4 319 329 219  51  59 221 254   3 367 259 354 213
 124 238 162 277 317 491 230 231 126 262 304  49 348  66 296 407 380 318
 137  93 449 106 132 242 272 264 360 249 237 432 136 489 293 292 425 393
 143 253 128 144 113  82 352 363 247 423 479  95 356 241 323 494 331 287
 371 456 457 270 251 497  38  48 288 291 236  96 314 179 337 411 305 465
  84 441  75 405 273   8 258 454 389  19 233 185 197  28  62 422 384 370
 351 130  31 458 263 308 234 369  69 280 445 235 333 228 214 166 301 322
 460   2 335  50 378 466 444 483 324 417 320 269 413 239 408 312 403 104
  37 463 436  92 477 459 256 472 299 359 475 420 165 108 452 232 200  55
  15 248 149 336 334 207  17 100 427  21  44 252 150 225  68 202 328 390
  94 414 169 442 229 133  86  43 366 183 495 119  29   1 123 394 469 182
  91 283 307 192 473 486 147 391  79 167 433 223 490 387 261 226 142 313
 338 341 281  10 276 404 448 306 468 349  76 400  52 376  41  89  54 290
 437 358 199 271 365 321 245 244 121 303 402  34 170 186   6 243 375 339
 284 153 151 212  32 250 201 218  24 395 309 205 127 396 172  14 194  97
 344  12 419  40 282   5 222 484 443  23 409 103 447  83],
11,23.136240482330322,203809.75180877344,156159.31147426864,[  0 148 215 392 120 310 450  11  71 246 138 476  78 174  77  46 399  73
 101 430 116 134 294 203 325 217  30 164  67 361 135 464 145 373  61 383
 462 154 129  63 188  36 485 492 268 362 300 278 198 467 429 353 158   9
 206 227  47  90  53 220 428 171 160 274 211  45 474 176 438 440 330 350
  87 496 316 224 196  74 146 332 493 401  65 311 152 286 102 193 342  42
  25 156 385 161  20 453 410 326 478 372 190 498 117  88 298  35 255 434
 139 180 439  22  60 421 178 397 315 275 418 265 189 480 302 209 210 451
 122 377 343 388 487 107  33 115 260  16 168 177 140 482 382 346  64  27
 216  80 109 431 289   7 347 175  56 499  58 112 406 295 285 398  98 381
 184 157 141  57 191 267 279 416 181 386  85 208 110 327 471 412 159 446
 345 204 368 435 105  72 257 266 297 163 415 173 187 426 379 357 118 240
 131 125  26  18 355 340  99 374 470 155  39 481 114 364  13 461 195 111
 424 488  70 455  81   4 319 329 219  51  59 221 254   3 367 259 354 213
 124 238 162 277 317 491 230 231 126 262 304  49 348  66 296 407 380 318
 137  93 449 106 132 242 272 264 360 249 237 432 136 489 293 292 425 393
 143 253 128 144 113  82 352 363 247 423 479  95 356 241 323 494 331 287
 371 456 457 270 251 497  38  48 288 291 236  96 314 179 337 411 305 465
  84 441  75 405 273   8 258 454 389  19 233 185 197  28  62 422 384 370
 351 130  31 458 263 308 234 369  69 280 445 235 333 228 214 166 301 322
 460   2 335  50 378 466 444 483 324 417 320 269 413 239 408 312 403 104
  37 463 436  92 477 459 256 472 299 359 475 420 165 108 452 232 200  55
  15 248 149 336 334 207  17 100 427  21  44 252 150 225  68 202 328 390
  94 414 169 442 229 133  86  43 366 183 495 119  29   1 123 394 469 182
  91 283 307 192 473 486 147 391  79 167 433 223 490 387 261 226 142 313
 338 341 281  10 276 404 448 306 468 349  76 400  52 376  41  89  54 290
 437 358 199 271 365 321 245 244 121 303 402  34 170 186   6 243 375 339
 284 153 151 212  32 250 201 218  24 395 309 205 127 396 172  14 194  97
 344  12 419  40 282   5 222 484 443  23 409 103 447  83],
12,24.165748357772827,204862.8539420415,156159.31147426864,[  0 148 215 392 120 310 450  11  71 246 138 476  78 174  77  46 399  73
 101 430 116 134 294 203 325 217  30 164  67 361 135 464 145 373  61 383
 462 154 129  63 188  36 485 492 268 362 300 278 198 467 429 353 158   9
 206 227  47  90  53 220 428 171 160 274 211  45 474 176 438 440 330 350
  87 496 316 224 196  74 146 332 493 401  65 311 152 286 102 193 342  42
  25 156 385 161  20 453 410 326 478 372 190 498 117  88 298  35 255 434
 139 180 439  22  60 421 178 397 315 275 418 265 189 480 302 209 210 451
 122 377 343 388 487 107  33 115 260  16 168 177 140 482 382 346  64  27
 216  80 109 431 289   7 347 175  56 499  58 112 406 295 285 398  98 381
 184 157 141  57 191 267 279 416 181 386  85 208 110 327 471 412 159 446
 345 204 368 435 105  72 257 266 297 163 415 173 187 426 379 357 118 240
 131 125  26  18 355 340  99 374 470 155  39 481 114 364  13 461 195 111
 424 488  70 455  81   4 319 329 219  51  59 221 254   3 367 259 354 213
 124 238 162 277 317 491 230 231 126 262 304  49 348  66 296 407 380 318
 137  93 449 106 132 242 272 264 360 249 237 432 136 489 293 292 425 393
 143 253 128 144 113  82 352 363 247 423 479  95 356 241 323 494 331 287
 371 456 457 270 251 497  38  48 288 291 236  96 314 179 337 411 305 465
  84 441  75 405 273   8 258 454 389  19 233 185 197  28  62 422 384 370
 351 130  31 458 263 308 234 369  69 280 445 235 333 228 214 166 301 322
 460   2 335  50 378 466 444 483 324 417 320 269 413 239 408 312 403 104
  37 463 436  92 477 459 256 472 299 359 475 420 165 108 452 232 200  55
  15 248 149 336 334 207  17 100 427  21  44 252 150 225  68 202 328 390
  94 414 169 442 229 133  86  43 366 183 495 119  29   1 123 394 469 182
  91 283 307 192 473 486 147 391  79 167 433 223 490 387 261 226 142 313
 338 341 281  10 276 404 448 306 468 349  76 400  52 376  41  89  54 290
 437 358 199 271 365 321 245 244 121 303 402  34 170 186   6 243 375 339
 284 153 151 212  32 250 201 218  24 395 309 205 127 396 172  14 194  97
 344  12 419  40 282   5 222 484 443  23 409 103 447  83],
13,25.19732427597046,205618.27157075924,156159.31147426864,[  0 148 215 392 120 310 450  11  71 246 138 476  78 174  77  46 399  73
 101 430 116 134 294 203 325 217  30 164  67 361 135 464 145 373  61 383
